parentKey;childKey;relationType;metaX
VALUE_STREAM:A;MACRO_BUSINESS_PROCESS:A1;contains;
VALUE_STREAM:A;MACRO_BUSINESS_PROCESS:A2;contains;
VALUE_STREAM:B;MACRO_BUSINESS_PROCESS:B1;contains;
VALUE_STREAM:B;MACRO_BUSINESS_PROCESS:B2;contains;
VALUE_STREAM:B;MACRO_BUSINESS_PROCESS:B3;contains;
VALUE_STREAM:B;MACRO_BUSINESS_PROCESS:B4;contains;
VALUE_STREAM:B;MACRO_BUSINESS_PROCESS:B5;contains;
VALUE_STREAM:C;MACRO_BUSINESS_PROCESS:C3;contains;
VALUE_STREAM:C;MACRO_BUSINESS_PROCESS:C4;contains;
VALUE_STREAM:C;MACRO_BUSINESS_PROCESS:C5;contains;
VALUE_STREAM:C;MACRO_BUSINESS_PROCESS:C6;contains;
VALUE_STREAM:D;MACRO_BUSINESS_PROCESS:D1;contains;
VALUE_STREAM:D;MACRO_BUSINESS_PROCESS:D3;contains;
VALUE_STREAM:E;MACRO_BUSINESS_PROCESS:E1;contains;
VALUE_STREAM:E;MACRO_BUSINESS_PROCESS:E3;contains;
VALUE_STREAM:F;MACRO_BUSINESS_PROCESS:F1;contains;
VALUE_STREAM:F;MACRO_BUSINESS_PROCESS:F2;contains;
VALUE_STREAM:F;MACRO_BUSINESS_PROCESS:F3;contains;
VALUE_STREAM:F;MACRO_BUSINESS_PROCESS:F4;contains;
VALUE_STREAM:F;MACRO_BUSINESS_PROCESS:F5;contains;
VALUE_STREAM:F;MACRO_BUSINESS_PROCESS:F6;contains;
VALUE_STREAM:G;MACRO_BUSINESS_PROCESS:G1;contains;
VALUE_STREAM:G;MACRO_BUSINESS_PROCESS:G2;contains;
VALUE_STREAM:G;MACRO_BUSINESS_PROCESS:G3;contains;
VALUE_STREAM:H;MACRO_BUSINESS_PROCESS:H1;contains;
VALUE_STREAM:H;MACRO_BUSINESS_PROCESS:H3;contains;
VALUE_STREAM:I;MACRO_BUSINESS_PROCESS:I2;contains;
VALUE_STREAM:J;MACRO_BUSINESS_PROCESS:J1;contains;
VALUE_STREAM:J;MACRO_BUSINESS_PROCESS:J2;contains;
VALUE_STREAM:J;MACRO_BUSINESS_PROCESS:J3;contains;
